RIGOL:DG1:CSV DATA FILE
TYPE:Arb
AMP:0.647 Vpp
PERIOD:1.00E-7 S
DOTS:8192
MODE:Freq
AFG Frequency:10.0e6
AWG N:0
x,y[V]
,0.0012
,0.0024
,0.0036
,0.0048
,0.006
,0.0072
,0.0084
,0.0096
,0.0108
,0.012
,0.0132
,0.0144
,0.0155
,0.0167
,0.0179
,0.0191
,0.0203
,0.0215
,0.0227
,0.0239
,0.0251
,0.0263
,0.0275
,0.0287
,0.0299
,0.0311
,0.0322
,0.0334
,0.0346
,0.0358
,0.037
,0.0382
,0.0394
,0.0406
,0.0418
,0.0429
,0.0441
,0.0453
,0.0465
,0.0477
,0.0489
,0.05
,0.0512
,0.0524
,0.0536
,0.0548
,0.0559
,0.0571
,0.0583
,0.0595
,0.0606
,0.0618
,0.063
,0.0642
,0.0653
,0.0665
,0.0677
,0.0688
,0.07
,0.0712
,0.0723
,0.0735
,0.0746
,0.0758
,0.077
,0.0781
,0.0793
,0.0804
,0.0816
,0.0828
,0.0839
,0.0851
,0.0862
,0.0874
,0.0885
,0.0897
,0.0908
,0.0919
,0.0931
,0.0942
,0.0954
,0.0965
,0.0976
,0.0988
,0.0999
,0.101
,0.1022
,0.1033
,0.1044
,0.1056
,0.1067
,0.1078
,0.1089
,0.1101
,0.1112
,0.1123
,0.1134
,0.1145
,0.1156
,0.1167
,0.1178
,0.119
,0.1201
,0.1212
,0.1223
,0.1234
,0.1245
,0.1256
,0.1267
,0.1277
,0.1288
,0.1299
,0.131
,0.1321
,0.1332
,0.1343
,0.1353
,0.1364
,0.1375
,0.1386
,0.1396
,0.1407
,0.1418
,0.1428
,0.1439
,0.145
,0.146
,0.1471
,0.1481
,0.1492
,0.1502
,0.1513
,0.1523
,0.1534
,0.1544
,0.1554
,0.1565
,0.1575
,0.1585
,0.1596
,0.1606
,0.1616
,0.1627
,0.1637
,0.1647
,0.1657
,0.1667
,0.1677
,0.1687
,0.1697
,0.1707
,0.1717
,0.1727
,0.1737
,0.1747
,0.1757
,0.1767
,0.1777
,0.1787
,0.1797
,0.1806
,0.1816
,0.1826
,0.1835
,0.1845
,0.1855
,0.1864
,0.1874
,0.1883
,0.1893
,0.1902
,0.1912
,0.1921
,0.1931
,0.194
,0.195
,0.1959
,0.1968
,0.1977
,0.1987
,0.1996
,0.2005
,0.2014
,0.2023
,0.2032
,0.2042
,0.2051
,0.206
,0.2069
,0.2077
,0.2086
,0.2095
,0.2104
,0.2113
,0.2122
,0.213
,0.2139
,0.2148
,0.2157
,0.2165
,0.2174
,0.2182
,0.2191
,0.2199
,0.2208
,0.2216
,0.2225
,0.2233
,0.2241
,0.225
,0.2258
,0.2266
,0.2274
,0.2283
,0.2291
,0.2299
,0.2307
,0.2315
,0.2323
,0.2331
,0.2339
,0.2347
,0.2355
,0.2362
,0.237
,0.2378
